day,x,y,z
142,-1.0936199928958483E12,-6.903303293003378E11,1.5696963375400499E7
143,-1.1001647827665796E12,-6.949269238449047E11,1.574833235827181E7
144,-1.106709077581013E12,-6.995232053552545E11,1.5799697663321013E7
145,-1.1132528834507073E12,-7.041191774947607E11,1.5851059333621634E7
146,-1.1197962063744744E12,-7.087148438627579E11,1.5902417411511471E7
147,-1.126339052241139E12,-7.133102079960262E11,1.5953771938609248E7
148,-1.1328814268322158E12,-7.179052733702338E11,1.6005122955830816E7
149,-1.1394233358245046E12,-7.225000434013369E11,1.6056470503404912E7
150,-1.1459647847926077E12,-7.270945214469417E11,1.610781462088847E7
151,-1.152505779211371E12,-7.316887108076254E11,1.6159155347181533E7
152,-1.1590463244582554E12,-7.362826147282224E11,1.6210492720541744E7
153,-1.1655864258156345E12,-7.408762363990728E11,1.6261826778598445E7
154,-1.1721260884730273E12,-7.454695789572365E11,1.6313157558366394E7
155,-1.1786653175292651E12,-7.500626454876743E11,1.6364485096259097E7
156,-1.185204117994595E12,-7.546554390243958E11,1.6415809428101785E7
157,-1.191742494792723E12,-7.592479625515757E11,1.646713058914404E7
158,-1.1982804527627988E12,-7.638402190046407E11,1.6518448614072068E7
159,-1.2048179966613442E12,-7.68432211271326E11,1.656976353702066E7
160,-1.2113551311641252E12,-7.730239421927035E11,1.6621075391584817E7
161,-1.2178918608679731E12,-7.776154145641824E11,1.6672384210831078E7
162,-1.2244281902925537E12,-7.822066311364836E11,1.6723690027308527E7
163,-1.230964123882087E12,-7.867975946165881E11,1.6774992873059526E7
164,-1.23749966600702E12,-7.913883076686594E11,1.6826292779630143E7
165,-1.244034820965653E12,-7.959787729149432E11,1.6877589778080326E7
166,-1.2505695929857205E12,-8.005689929366426E11,1.6928883898993794E7
167,-1.2571039862259294E12,-8.051589702747706E11,1.6980175172487687E7
168,-1.263638004777457E12,-8.097487074309816E11,1.7031463628221963E7
169,-1.270171652665406E12,-8.143382068683796E11,1.708274929540854E7
170,-1.2767049338502224E12,-8.189274710123082E11,1.7134032202820215E7
171,-1.2832378522290745E12,-8.235165022511178E11,1.718531237879936E7
172,-1.2897704116371958E12,-8.281053029369158E11,1.723658985126638E7
173,-1.2963026158491926E12,-8.326938753862961E11,1.7287864647727974E7
174,-1.3028344685803164E12,-8.372822218810518E11,1.733913679528518E7
175,-1.309365973487704E12,-8.418703446688684E11,1.739040632064123E7
176,-1.3158971341715852E12,-8.464582459640018E11,1.7441673250109214E7
177,-1.3224279541764578E12,-8.51045927947938E11,1.749293760961953E7
178,-1.328958436992235E12,-8.556333927700369E11,1.7544199424727198E7
179,-1.3354885860553616E12,-8.602206425481609E11,1.759545872061893E7
180,-1.3420184047499014E12,-8.648076793692881E11,1.7646715522120103E7
181,-1.348547896408599E12,-8.6939450529011E11,1.769796985370151E7
182,-1.3550770643139136E12,-8.739811223376152E11,1.7749221739485968E7
183,-1.3616059116990254E12,-8.785675325096597E11,1.780047120325479E7
184,-1.3681344417488206E12,-8.831537377755222E11,1.7851718268454064E7
185,-1.3746626576008481E12,-8.877397400764478E11,1.790296295820083E7
186,-1.3811905623462554E12,-8.923255413261774E11,1.7954205295289084E7
187,-1.3877181590306997E12,-8.969111434114657E11,1.8005445302195642E7
188,-1.3942454506552373E12,-9.014965481925868E11,1.8056683001085877E7
189,-1.400772440177192E12,-9.060817575038274E11,1.810791841381934E7
190,-1.407299130511001E12,-9.106667731539695E11,1.815915156195522E7
191,-1.4138255245290422E12,-9.152515969267611E11,1.8210382466757726E7
192,-1.42035162506244E12,-9.19836230581377E11,1.8261611149201293E7
193,-1.4268774349018525E12,-9.244206758528678E11,1.8312837629975732E7
194,-1.4334029567982412E12,-9.290049344526001E11,1.8364061929491226E7
195,-1.4399281934636199E12,-9.335890080686854E11,1.841528406788322E7
196,-1.4464531475717883E12,-9.381728983664006E11,1.8466504065017223E7
197,-1.4529778217590474E12,-9.427566069885978E11,1.8517721940493487E7
198,-1.4595022186248982E12,-9.473401355561057E11,1.8568937713651605E7
199,-1.4660263407327246E12,-9.51923485668122E11,1.8620151403575E7
200,-1.4725501906104602E12,-9.565066589025966E11,1.8671363029095326E7
201,-1.4790737707512395E12,-9.610896568166072E11,1.872257260879677E7
202,-1.4855970836140352E12,-9.656724809467258E11,1.877378016102028E7
203,-1.4921201316242798E12,-9.702551328093778E11,1.8824985703867678E7
204,-1.4986429171744736E12,-9.748376139011926E11,1.8876189255205736E7
